week,type,away_team,away_score,home_team,home_score
1,Regular Season,Jack,981.0,Caleb,918.0
1,Regular Season,Zachary,805.0,Simon,1049.0
1,Regular Season,Dhruv,956.0,Nick,985.0
1,Regular Season,Michael V,1030.0,Ryan,919.0
1,Regular Season,Sanjay,921.0,Michael D,756.0
1,Regular Season,Shane,866.0,Kevin,925.0
2,Regular Season,Zachary,952.0,Jack,1114.0
2,Regular Season,Caleb,881.0,Dhruv,1079.0
2,Regular Season,Simon,1394.0,Nick,1111.0
2,Regular Season,Sanjay,949.0,Michael V,1252.0
2,Regular Season,Ryan,966.0,Shane,1156.0
2,Regular Season,Michael D,876.0,Kevin,1360.0
3,Regular Season,Jack,921.0,Dhruv,693.0
3,Regular Season,Nick,879.0,Zachary,964.0
3,Regular Season,Simon,1000.0,Caleb,959.0
3,Regular Season,Michael V,894.0,Shane,1061.0
3,Regular Season,Kevin,1139.0,Sanjay,1009.0
3,Regular Season,Michael D,954.0,Ryan,1122.0
4,Regular Season,Nick,1223.0,Jack,1086.0
4,Regular Season,Dhruv,1020.0,Simon,1299.0
4,Regular Season,Zachary,1184.0,Caleb,920.0
4,Regular Season,Kevin,1081.0,Michael V,1011.0
4,Regular Season,Shane,1235.0,Michael D,859.0
4,Regular Season,Sanjay,1140.0,Ryan,927.0
5,Regular Season,Jack,836.0,Simon,1393.0
5,Regular Season,Caleb,885.0,Nick,785.0
5,Regular Season,Zachary,924.0,Dhruv,679.0
5,Regular Season,Michael V,1112.0,Michael D,734.0
5,Regular Season,Ryan,881.0,Kevin,1039.0
5,Regular Season,Sanjay,869.0,Shane,1044.0
6,Regular Season,Michael V,1172.0,Jack,1131.0
6,Regular Season,Ryan,1093.0,Caleb,980.0
6,Regular Season,Sanjay,891.0,Zachary,724.0
6,Regular Season,Shane,1202.0,Dhruv,768.0
6,Regular Season,Kevin,1313.0,Nick,928.0
6,Regular Season,Michael D,854.0,Simon,1181.0
7,Regular Season,Caleb,1104.0,Michael V,1343.0
7,Regular Season,Zachary,1217.0,Ryan,821.0
7,Regular Season,Dhruv,824.0,Sanjay,869.0
7,Regular Season,Nick,982.0,Shane,1138.0
7,Regular Season,Simon,1244.0,Kevin,1368.0
7,Regular Season,Jack,827.0,Michael D,880.0
8,Regular Season,Michael V,902.0,Zachary,1187.0
8,Regular Season,Ryan,1288.0,Dhruv,766.0
8,Regular Season,Sanjay,1022.0,Nick,923.0
8,Regular Season,Shane,965.0,Simon,987.0
8,Regular Season,Kevin,983.0,Jack,1100.0
8,Regular Season,Michael D,730.0,Caleb,1150.0
9,Regular Season,Dhruv,745.0,Michael V,1040.0
9,Regular Season,Nick,975.0,Ryan,821.0
9,Regular Season,Simon,833.0,Sanjay,748.0
9,Regular Season,Jack,884.0,Shane,1040.0
9,Regular Season,Caleb,972.0,Kevin,1012.0
9,Regular Season,Zachary,1159.0,Michael D,767.0
10,Regular Season,Michael V,0.0,Nick,0.0
10,Regular Season,Ryan,0.0,Simon,0.0
10,Regular Season,Sanjay,0.0,Jack,0.0
10,Regular Season,Shane,0.0,Caleb,0.0
10,Regular Season,Kevin,0.0,Zachary,0.0
10,Regular Season,Michael D,0.0,Dhruv,0.0
11,Regular Season,Simon,,Michael V,
11,Regular Season,Jack,,Ryan,
11,Regular Season,Caleb,,Sanjay,
11,Regular Season,Zachary,,Shane,
11,Regular Season,Dhruv,,Kevin,
11,Regular Season,Nick,,Michael D,
12,Regular Season,Caleb,,Jack,
12,Regular Season,Simon,,Zachary,
12,Regular Season,Nick,,Dhruv,
12,Regular Season,Ryan,,Michael V,
12,Regular Season,Michael D,,Sanjay,
12,Regular Season,Kevin,,Shane,
13,Regular Season,Jack,,Zachary,
13,Regular Season,Dhruv,,Caleb,
13,Regular Season,Nick,,Simon,
13,Regular Season,Michael V,,Sanjay,
13,Regular Season,Shane,,Ryan,
13,Regular Season,Kevin,,Michael D,
14,Regular Season,Dhruv,,Jack,
14,Regular Season,Zachary,,Nick,
14,Regular Season,Caleb,,Simon,
14,Regular Season,Shane,,Michael V,
14,Regular Season,Sanjay,,Kevin,
14,Regular Season,Ryan,,Michael D,
15,Regular Season,Jack,,Nick,
15,Regular Season,Simon,,Dhruv,
15,Regular Season,Caleb,,Zachary,
15,Regular Season,Michael V,,Kevin,
15,Regular Season,Michael D,,Shane,
15,Regular Season,Ryan,,Sanjay,
16,Regular Season,Simon,,Jack,
16,Regular Season,Nick,,Caleb,
16,Regular Season,Dhruv,,Zachary,
16,Regular Season,Michael D,,Michael V,
16,Regular Season,Kevin,,Ryan,
16,Regular Season,Shane,,Sanjay,
17,Regular Season,Michael V,,Jack,
17,Regular Season,Ryan,,Caleb,
17,Regular Season,Sanjay,,Zachary,
17,Regular Season,Shane,,Dhruv,
17,Regular Season,Kevin,,Nick,
17,Regular Season,Michael D,,Simon,
18,Regular Season,Caleb,,Michael V,
18,Regular Season,Zachary,,Ryan,
18,Regular Season,Dhruv,,Sanjay,
18,Regular Season,Nick,,Shane,
18,Regular Season,Simon,,Kevin,
18,Regular Season,Jack,,Michael D,
19,Regular Season,Michael V,,Zachary,
19,Regular Season,Ryan,,Dhruv,
19,Regular Season,Sanjay,,Nick,
19,Regular Season,Shane,,Simon,
19,Regular Season,Kevin,,Jack,
19,Regular Season,Michael D,,Caleb,
20,Regular Season,Dhruv,,Michael V,
20,Regular Season,Nick,,Ryan,
20,Regular Season,Simon,,Sanjay,
20,Regular Season,Jack,,Shane,
20,Regular Season,Caleb,,Kevin,
20,Regular Season,Zachary,,Michael D,
