week,away_team,away_score,home_team,home_score
1,Jack B,115.82,Jaden,142.0
1,Jack A,144.28,Kyle,138.56
1,Moza,117.52,Big E,88.52
1,Levi,99.9,Jake M,168.52
1,Drew,83.26,Walt,106.58
2,Jack A,105.78,Jack B,82.36
2,Jaden,83.0,Moza,168.12
2,Kyle,140.56,Levi,157.86
2,Big E,110.48,Drew,128.34
2,Jake M,134.92,Walt,171.5
3,Jack B,141.4,Moza,95.8
3,Levi,122.92,Jack A,104.6
3,Drew,123.7,Jaden,121.48
3,Walt,105.14,Kyle,94.48
3,Jake M,151.92,Big E,99.76
4,Levi,99.46,Jack B,122.78
4,Moza,121.76,Drew,132.62
4,Jack A,152.22,Walt,130.3
4,Jaden,87.46,Jake M,127.86
4,Kyle,117.6,Big E,108.8
5,Jack B,115.08,Drew,88.64
5,Walt,136.34,Levi,126.54
5,Jake M,142.28,Moza,104.16
5,Big E,122.5,Jack A,164.46
5,Kyle,115.32,Jaden,114.98
6,Walt,133.22,Jack B,141.8
6,Drew,99.1,Jake M,120.8
6,Levi,118.08,Big E,99.58
6,Moza,99.5,Kyle,79.82
6,Jack A,127.76,Jaden,78.92
7,Jack B,154.34,Jake M,109.3
7,Big E,149.06,Walt,91.4
7,Kyle,93.82,Drew,107.48
7,Jaden,151.42,Levi,99.2
7,Jack A,93.42,Moza,130.24
8,Big E,119.94,Jack B,181.08
8,Jake M,122.62,Kyle,127.08
8,Walt,154.6,Jaden,103.02
8,Drew,116.66,Jack A,128.52
8,Levi,98.38,Moza,175.56
9,Jack B,153.94,Kyle,108.7
9,Jaden,114.74,Big E,110.1
9,Jack A,132.7,Jake M,148.02
9,Moza,131.32,Walt,130.3
9,Levi,101.1,Drew,97.88
10,Jaden,156.54,Jack B,114.78
10,Kyle,113.04,Jack A,93.6
10,Big E,112.48,Moza,103.2
10,Jake M,134.66,Levi,67.0
10,Walt,110.82,Drew,104.5
11,Jack B,142.78,Jack A,102.88
11,Moza,118.1,Jaden,156.26
11,Levi,113.18,Kyle,78.5
11,Drew,118.94,Big E,130.44
11,Walt,97.28,Jake M,126.76
12,Moza,106.52,Jack B,119.0
12,Jack A,145.82,Levi,78.62
12,Jaden,148.2,Drew,118.96
12,Kyle,125.86,Walt,136.74
12,Big E,98.54,Jake M,136.3
13,Jack B,111.48,Levi,107.38
13,Drew,126.96,Moza,144.0
13,Walt,120.24,Jack A,139.22
13,Jake M,121.94,Jaden,106.72
13,Big E,134.54,Kyle,136.8
14,Drew,,Jack B,
14,Levi,,Walt,
14,Moza,,Jake M,
14,Jack A,,Big E,
14,Jaden,,Kyle,
