week,away_team,away_score,home_team,home_score
1,Tanner,130.2,Josh,113.06
1,Shiv,98.26,Rohan,86.0
1,Kevin,143.42,Tony,91.9
1,Jack,120.68,Tim,163.62
1,Joey,152.32,Nick,119.8
2,Shiv,177.68,Tanner,114.18
2,Josh,103.36,Kevin,113.08
2,Rohan,133.56,Jack,120.48
2,Tony,106.0,Joey,126.82
2,Tim,182.22,Nick,136.16
3,Tanner,97.66,Kevin,120.16
3,Jack,102.8,Shiv,90.24
3,Joey,123.3,Josh,94.3
3,Nick,155.16,Rohan,83.2
3,Tim,119.12,Tony,105.38
4,Jack,111.52,Tanner,118.72
4,Kevin,118.48,Joey,125.76
4,Shiv,124.1,Nick,139.68
4,Josh,122.7,Tim,130.76
4,Rohan,126.84,Tony,174.96
5,Tanner,0.0,Joey,0.0
5,Nick,0.0,Jack,0.0
5,Tim,0.0,Kevin,0.0
5,Tony,0.0,Shiv,0.0
5,Rohan,0.0,Josh,0.0
6,Nick,,Tanner,
6,Joey,,Tim,
6,Jack,,Tony,
6,Kevin,,Rohan,
6,Shiv,,Josh,
7,Tanner,,Tim,
7,Tony,,Nick,
7,Rohan,,Joey,
7,Josh,,Jack,
7,Shiv,,Kevin,
8,Tony,,Tanner,
8,Tim,,Rohan,
8,Nick,,Josh,
8,Joey,,Shiv,
8,Jack,,Kevin,
9,Tanner,,Rohan,
9,Josh,,Tony,
9,Shiv,,Tim,
9,Kevin,,Nick,
9,Jack,,Joey,
10,Josh,,Tanner,
10,Rohan,,Shiv,
10,Tony,,Kevin,
10,Tim,,Jack,
10,Nick,,Joey,
11,Tanner,,Shiv,
11,Kevin,,Josh,
11,Jack,,Rohan,
11,Joey,,Tony,
11,Nick,,Tim,
12,Kevin,,Tanner,
12,Shiv,,Jack,
12,Josh,,Joey,
12,Rohan,,Nick,
12,Tony,,Tim,
13,Tanner,,Jack,
13,Joey,,Kevin,
13,Nick,,Shiv,
13,Tim,,Josh,
13,Tony,,Rohan,
14,Joey,,Tanner,
14,Jack,,Nick,
14,Kevin,,Tim,
14,Shiv,,Tony,
14,Josh,,Rohan,
